;names;goal;shotsPerGame;yelloCard;redCard;possession;passSuccess;aerialWonPerGame;rating
0; Paris Saint-Germain;59;14.4;54;3;63.6;90.5;7.6;6.88
1; Rennes;63;15;44;1;54.9;84.0;14.7;6.80
2; Strasbourg;50;12.6;51;3;49.3;80.4;18;6.75
3; Lyon;40;13.8;49;5;59.1;86.0;13.4;6.74
4; Nice;39;10.9;60;4;49.9;83.4;13.7;6.74
5; Marseille;45;13.6;49;3;61.0;88.1;9.5;6.72
6; Monaco;43;11.3;57;4;55.9;82.0;14.4;6.67
7; Nantes;36;10.7;55;3;43.0;78.2;16.3;6.64
8; Lille;38;11.5;71;4;49.5;81.3;14.1;6.64
9; Brest;36;10.7;45;1;42.5;78.7;16.7;6.64
10; Lens;45;13.2;59;4;51.3;83.9;12.4;6.63
11; Montpellier;43;11.5;51;8;47.8;80.1;12.7;6.63
12; Reims;32;10.2;50;6;42.0;78.0;11.8;6.59
13; Angers;32;10.1;51;3;49.4;83.6;11.3;6.53
14; Lorient;24;11.2;48;4;44.4;79.4;12.1;6.52
15; Troyes;27;10.1;56;4;44.2;79.7;11.9;6.51
16; Metz;26;9.2;72;5;42.2;78.8;14.1;6.51
17; Saint-Etienne;29;11.9;58;4;49.6;80.2;12.3;6.50
18; Clermont Foot;28;11;42;5;50.1;82.5;11.6;6.47
19; Bordeaux;38;12;67;3;47.1;80.8;12.1;6.42
